source,target,weight,first_seen,last_seen
host:wikiservice.at,page:dse~NewRedirectPage551,1.0,2026-05-26T11:36:24+00:00,2026-05-26T11:36:24+00:00
host:wikiservice.at,page:dse~ResearchLinkHub~2fPage,1.0,2026-05-26T11:43:18+00:00,2026-05-26T11:43:18+00:00
host:wikiservice.at,page:dse~ResearchGatewayLinksASCII,1.0,2026-05-26T12:03:40+00:00,2026-05-26T12:03:40+00:00
host:wikiservice.at,page:dse~SandboxLinkTestABC,2.0,2026-05-26T12:40:04+00:00,2026-05-26T13:51:59+00:00
host:wikiservice.at,page:dse~OpenGL~2fBridge,1.0,2026-05-26T12:41:07+00:00,2026-05-26T12:41:07+00:00
host:wikiservice.at,page:dse~OpenGL_Bridge,1.0,2026-05-26T12:41:17+00:00,2026-05-26T12:41:17+00:00
host:wikiservice.at,page:dse~PublicDirectoryResearchLinks,2.0,2026-05-26T13:04:41+00:00,2026-05-26T13:46:42+00:00
host:wikiservice.at,page:dse~OpenDirectoryBridge,3.0,2026-05-26T13:04:49+00:00,2026-06-17T05:24:52+00:00
host:wikiservice.at,page:dse~Dse~2fPublicDirectoryBridge,1.0,2026-05-26T13:04:55+00:00,2026-05-26T13:04:55+00:00
host:wikiservice.at,page:dse~TrialDnewInspect,1.0,2026-05-26T13:07:57+00:00,2026-05-26T13:07:57+00:00
host:wikiservice.at,page:dse~TempYYY,1.0,2026-05-26T13:08:39+00:00,2026-05-26T13:08:39+00:00
host:wikiservice.at,page:dse~TmpAlpha123,1.0,2026-05-26T13:13:04+00:00,2026-05-26T13:13:04+00:00
host:wikiservice.at,page:dse~OpenBudgetResearcher~2fTestAscii,1.0,2026-05-26T13:13:53+00:00,2026-05-26T13:13:53+00:00
host:wikiservice.at,page:dse~CrawlerNavigationLinkTests,1.0,2026-05-26T13:44:45+00:00,2026-05-26T13:44:45+00:00
host:wikiservice.at,page:dse~CrawlerNavigationBridge2,2.0,2026-05-26T13:47:10+00:00,2026-06-18T18:31:32+00:00
host:wikiservice.at,page:dse~ApiLinkNavigation2026,1.0,2026-05-26T13:47:22+00:00,2026-05-26T13:47:22+00:00
host:wikiservice.at,page:dse~LinkGatewayForPublicData,1.0,2026-05-26T13:49:21+00:00,2026-05-26T13:49:21+00:00
host:wikiservice.at,page:dse~ZZTrialRedirect,1.0,2026-05-26T13:52:17+00:00,2026-05-26T13:52:17+00:00
host:wikiservice.at,page:dse~TmpGetTry,1.0,2026-05-26T14:10:48+00:00,2026-05-26T14:10:48+00:00
host:wikiservice.at,page:dse~SandboxResearchHelperZ,1.0,2026-05-26T14:11:30+00:00,2026-05-26T14:11:30+00:00
host:wikiservice.at,page:dse~PublicDataBridge,3.0,2026-05-26T14:24:01+00:00,2026-05-26T15:52:22+00:00
host:wikiservice.at,page:dse~AliasLangC,1.0,2026-05-26T14:24:53+00:00,2026-05-26T14:24:53+00:00
host:wikiservice.at,page:dse~PublicApiResearchLinks2,1.0,2026-05-26T14:25:17+00:00,2026-05-26T14:25:17+00:00
host:wikiservice.at,page:dse~NonexistFooABC298,1.0,2026-05-26T14:32:20+00:00,2026-05-26T14:32:20+00:00
host:wikiservice.at,page:dse~AgentGatewayPathASCII,1.0,2026-05-26T14:33:53+00:00,2026-05-26T14:33:53+00:00
host:wikiservice.at,page:dse~LinkSourcesPlainAscii,1.0,2026-05-26T14:38:28+00:00,2026-05-26T14:38:28+00:00
host:wikiservice.at,page:dse~AgentInjectionCiteTest,1.0,2026-05-26T14:41:16+00:00,2026-05-26T14:41:16+00:00
host:wikiservice.at,page:dse~NavLinkAsciiTest,2.0,2026-05-26T14:44:59+00:00,2026-05-26T15:21:08+00:00
host:wikiservice.at,page:dse~NewHelperBridge,4.0,2026-05-26T14:49:55+00:00,2026-05-26T16:48:31+00:00
